#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.4801001548767	-6.9447666073013
4.4809999465942	-6.9702392610636
4.4819002151489	-6.9959232495342
4.4828000068665	-7.0218183633100
4.4836997985840	-7.0479268166034
4.4846000671387	-7.0742487120250
4.4854998588562	-7.1007858443317
4.4864001274109	-7.1275392973754
4.4872999191284	-7.1545090589361
4.4882001876831	-7.1816970493673
4.4890999794006	-7.2091033459902
4.4899997711182	-7.2367302924162
4.4909000396729	-7.2645787053262
4.4917998313904	-7.2926478579600
4.4927000999451	-7.3209404366162
4.4935998916626	-7.3494558519050
4.4945001602173	-7.3781975574471
4.4953999519348	-7.4071639821884
4.4963002204895	-7.4363583790453
4.4972000122070	-7.4657798524260
4.4980998039246	-7.4954295010784
4.4990000724792	-7.5253092224696
4.4998998641968	-7.5554197823312
4.5008001327515	-7.5857619931497
4.5016999244690	-7.6163371593448
4.5026001930237	-7.6471453913127
4.5034999847412	-7.6781881928547
4.5043997764587	-7.7094660515655
4.5053000450134	-7.7409795287701
4.5061998367310	-7.7727315227779
4.5071001052856	-7.8047221153340
4.5079998970032	-7.8369509451488
4.5089001655579	-7.8694208018519
4.5097999572754	-7.9021303424793
4.5107002258301	-7.9350822411158
4.5116000175476	-7.9682766850388
4.5124998092651	-8.0017157066542
4.5134000778198	-8.0353986459596
4.5142998695374	-8.0693269771532
4.5152001380920	-8.1035018460736
4.5160999298096	-8.1379256361643
4.5170001983643	-8.1725954185228
4.5178999900818	-8.2075149616269
4.5187997817993	-8.2426852538292
4.5197000503540	-8.2781046131652
4.5205998420715	-8.3137781773455
4.5215001106262	-8.3497032751805
4.5223999023438	-8.3858811966235
4.5233001708984	-8.4223144391466
4.5241999626160	-8.4590008499732
4.5251002311707	-8.4959448689907
4.5260000228882	-8.5331452910809
4.5268998146057	-8.5706025205999
4.5278000831604	-8.6083195150494
4.5286998748779	-8.6462939862974
4.5296001434326	-8.6845298790428
4.5304999351501	-8.7230257249253
4.5314002037048	-8.7617830004276
4.5322999954224	-8.8008041963178
4.5331997871399	-8.8400855325796
4.5341000556946	-8.8796327121400
4.5349998474121	-8.9194441186736
4.5359001159668	-8.9595195942142
4.5367999076843	-8.9998625492484
4.5377001762390	-9.0404704203830
4.5385999679565	-9.0813471090612
4.5395002365112	-9.1224910908896
4.5404000282288	-9.1639034100901
4.5412998199463	-9.2055849628000
4.5422000885010	-9.2475358645651
4.5430998802185	-9.2897578706239
4.5440001487732	-9.3322499515644
4.5448999404907	-9.3750141081317
4.5458002090454	-9.4180493660336
4.5467000007629	-9.4613583942196
4.5475997924805	-9.5049398006583
4.5485000610352	-9.5487956727303
4.5493998527527	-9.5929241335047
4.5503001213074	-9.6373284656060
4.5511999130249	-9.6820052056943
4.5521001815796	-9.7269593088230
4.5529999732971	-9.7721878748511
4.5538997650146	-9.8176918019134
4.5548000335693	-9.8634730357953
4.5556998252869	-9.9095302479802
4.5566000938416	-9.9558627807282
4.5574998855591	-10.002473048700
4.5584001541138	-10.049360050487
4.5592999458313	-10.096524461741
4.5602002143860	-10.143966158096
4.5611000061035	-10.191684916556
4.5619997978210	-10.239679596207
4.5629000663757	-10.287951972918
4.5637998580933	-10.336501340192
4.5647001266479	-10.385327405743
4.5655999183655	-10.434430963051
4.5665001869202	-10.483808667003
4.5673999786377	-10.533465182323
4.5682997703552	-10.583396011913
4.5692000389099	-10.633602809183
4.5700998306274	-10.684084931555
4.5710000991821	-10.734840183408
4.5718998908997	-10.785869141807
4.5728001594543	-10.837172788867
4.5736999511719	-10.888746799651
4.5746002197266	-10.940592532127
4.5755000114441	-10.992710613197
4.5763998031616	-11.045098304427
4.5773000717163	-11.097754832700
4.5781998634338	-11.150678704062
4.5791001319885	-11.203868625367
4.5799999237061	-11.257325372572
4.5809001922607	-11.311044254460
4.5817999839783	-11.365024508598
4.5826997756958	-11.419267495586
4.5836000442505	-11.473769001786
4.5844998359680	-11.528528823904
4.5854001045227	-11.583543020764
4.5862998962402	-11.638811718659
4.5872001647949	-11.694330274531
4.5880999565125	-11.750099114579
4.5890002250671	-11.806114850026
4.5899000167847	-11.862374223224
4.5907998085022	-11.918877052339
4.5917000770569	-11.975615754869
4.5925998687744	-12.032592972760
4.5935001373291	-12.089802244747
4.5943999290466	-12.147240852609
4.5953001976013	-12.204906568565
4.5961999893188	-12.262793797972
4.5970997810364	-12.320901926907
4.5980000495911	-12.379223350328
4.5988998413086	-12.437757213238
4.5998001098633	-12.496496835898
4.6006999015808	-12.555439811116
4.6016001701355	-12.614580745081
4.6024999618530	-12.673914104541
4.6034002304077	-12.733434793792
4.6043000221252	-12.793138957161
4.6051998138428	-12.853019477659
4.6061000823975	-12.913071449802
4.6069998741150	-12.973288542087
4.6079001426697	-13.033664826682
4.6087999343872	-13.094193478370
4.6097002029419	-13.154868441100
4.6105999946594	-13.215682369345
4.6114997863770	-13.276628012058
4.6124000549316	-13.337696681645
4.6132998466492	-13.398883323854
4.6142001152039	-13.460176303791
4.6150999069214	-13.521569867856
4.6160001754761	-13.583054408907
4.6168999671936	-13.644620985226
